"","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Contempt","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"Pride",2.61951462262704,1.18267661181734,1.50447670180986,2.04583255382083,1.27489120211589,1.39587925714718,2.29085630807359,1.34924212842551,1.15847464774352,0.688451470365728,0.772207746713362,0.726151221541634,0.728825636335609,0.596995030170307,0.668551578779324,0.836947247908787,0.553458389147864,0.641609804988506
"Love",1.19022159817662,1.88933429557032,1.0880762742729,1.11871527279427,0.948012560874975,0.916633143112959,1.27819404043861,0.917188140133721,0.804582796963451,0.81567562944521,0.816451032824188,0.775565920020405,0.885304485677208,0.742921343993846,0.942019300993286,0.795279644218327,0.739484586131365,0.734022179791623
"Hope",1.50990802564311,1.0851591797038,1.78075780007842,1.76948657735504,1.10152374174418,1.13569059255378,1.68706026104615,1.08602033123838,1.00545328038975,0.745871769243376,0.779089708717363,0.738115301509529,0.746643785079926,0.653188848085548,0.786339801562418,0.86916337901762,0.611661197472051,0.617165954427661
"Gratitude",2.03745562343667,1.12892761138409,1.7622893629207,3.65233813073114,1.34090756174887,1.44859448875164,2.90366063319039,1.4172554703419,1.23109485264844,0.638691032884416,0.747478944480241,0.775096074900985,0.855035371628176,0.591169727818819,0.760692740688795,0.97247265125325,0.610066052238483,0.608118463305958
"Joy",1.24542255186852,0.949200174480832,1.08623393458265,1.33175085892349,1.23470605295297,1.16849470757574,1.37612613358342,1.08379787095737,0.953801602619181,0.579794053685765,0.567227973660973,0.595596034015155,0.572030083795239,0.5090020504493,0.530126686321866,0.66970449105964,0.487448622731681,0.498563534744118
"Satisfaction",1.38768572895688,0.926663171426657,1.12951947902785,1.46188434644661,1.19018506462092,1.37160735473876,1.510142889915,1.11486675419062,1.03994047522562,0.569523408161807,0.643808264770349,0.586901780075703,0.577096995339523,0.48522530477266,0.497714723191053,0.670341983435922,0.455263443221816,0.486124599424607
"Awe",2.20742052804874,1.27728944451473,1.60992033224535,2.87464634554129,1.39040130094425,1.49496108676387,4.85818260969307,1.84983316504285,1.50678673541411,0.638409508571101,0.691284923449928,0.72900406840164,0.770872965522293,0.5430680218546,0.733950188177364,0.911207749604809,0.588872200639445,0.553547701860281
"Amusement",1.33785077837313,0.899829107887556,1.05316358481534,1.38377086307558,1.10521483256176,1.12919986506059,1.79520314540253,1.57886387828183,1.1314054945769,0.650936729222505,0.904474957525293,0.742932537730082,0.681593274163418,0.636619692829335,0.707588038221422,0.88356030450916,0.548326545339706,0.565806890722589
"Alertness",1.16393547099888,0.777153837976061,0.99295782500886,1.25317296696495,0.954415572109119,1.03475517645719,1.48808050654491,1.09485590836617,1.34238792279984,0.691680894344498,0.780462381247194,0.695882478781526,0.679573539985242,0.60933814899137,0.669758599982841,0.759770565693004,0.593622097162592,0.597991226591119
"Anxiety",0.687363296281905,0.804098064511856,0.769111394607929,0.657436681648319,0.590641997575504,0.572559437618925,0.605358335102842,0.660951140441313,0.695047648292091,1.5330593142063,1.44166558202568,1.27850220788504,1.34050241235717,1.1341840499015,1.58168326872759,1.2744337866257,1.11589603246266,1.15478764356924
"Contempt",0.803096056581896,0.759966999106791,0.710848274377156,0.734809809828033,0.555073088511095,0.608322769861747,0.938172396110617,0.870018768667186,0.780462381247194,1.32810973138667,14.1546397193377,3.48320797049882,2.74509074112643,2.14112888065194,3.23432306221968,3.0146145956341,1.47163585472418,2.12430236538262
"Offense",0.793954498251847,0.761385389837191,0.828718652758653,0.810083050504154,0.573218148344065,0.612746996079036,0.818162839357237,0.722803823653651,0.729717931558586,1.25857477396394,3.4236659539091,4.12974107105817,2.10738698464288,2.07144122339527,2.39309153143674,2.1840838135814,1.52290494618204,1.96488654746087
"Guilt",0.70286746298667,0.903229660865273,0.769804079742671,0.859949368016844,0.576744617452892,0.567265700700009,0.75172084215528,0.723357567923432,0.709433589469442,1.34433241924962,2.96252367111664,2.07851866978476,4.37493201749294,1.7385108736591,2.43458394377627,2.55396048900613,1.51263489624877,1.51630859072122
"Disgust",0.611209197555315,0.744811729093067,0.68877926609021,0.585339651607588,0.515341270125225,0.498289062978078,0.59532979801634,0.630277279949341,0.623020160356052,1.13645605320659,2.25721418141018,1.97828116837485,1.76852832759278,2.40746480979814,1.76586177558701,1.5741794295367,1.56920777095867,1.76096649220391
"Fear",0.68868867452569,0.921933601611766,0.85640968486996,0.75325926113809,0.515070771463696,0.495731796007025,0.729121568518303,0.710957505070095,0.70194854819907,1.60292687795348,3.1795040272668,2.38144631717184,2.39737414550894,1.75072581751055,4.9747734825658,2.42045349912856,1.55561052007888,1.64457104858628
"Embarrassment",0.774001354612025,0.813882676831621,0.848560987811277,0.820434154154659,0.652273826223842,0.688707517228687,1.07891469738483,0.949876088953557,0.817474659289941,1.21965549228828,3.42714080345771,2.1234148187597,2.43087805580102,1.54497387425773,2.34597800684768,4.15304633953041,1.23450089455396,1.30939492685714
"Sadness",0.553458389147864,0.744876661238572,0.654599756662326,0.646809386641216,0.481978501030203,0.466416890605869,0.582699536062512,0.553064638033137,0.623621782752651,1.14132463674223,1.48565143429298,1.49164296781466,1.50719865223709,1.54211910413571,1.6063220524515,1.22974060832818,1.87227595390221,1.47679948930216
"Anger",0.68496181883908,0.780506647731299,0.697379570231062,0.664129374399928,0.544197664955941,0.537885396509335,0.660099137429631,0.66282826461252,0.651083905587527,1.17141824869715,2.15380656490182,1.88967557913701,1.54777914637769,1.78540550288986,1.73401263193044,1.35281873820699,1.49597870344894,2.34791314068605
